Clusters,Issues
2,2556983
2,2383241
14,2532647
5,2371574
8,2432049
9,2556286
8,2416625
14,2423410
1,2475212
8,2417442
3,2427124
3,2440707
11,2501717
14,2570879
14,2567772
1,2534292
14,2377534
14,2500200
1,2564784
14,2559919
1,2571925
14,2412744
3,2425815
3,2561966
1,2561030
7,2389782
7,1706577
14,2561575
14,2561322
14,2420218
14,2423042
1,1808200
3,2563074
2,2477105
7,2371691
14,2420310
14,2558321
14,2468538
14,2545193
3,2431865
4,2385349
14,2427200
14,2542853
2,2560357
14,2555558
2,2446421
7,1816071
4,2371656
4,73703
8,1984023
4,2442046
14,2534632
14,2374511
1,2552867
14,2426023
1,2500063
14,2446688
14,2561165
14,2436789
2,2563746
2,1914423
5,2414115
14,2426136
2,2364555
14,2558848
14,2554278
14,2425048
14,2468474
14,1810842
3,2494464
8,2444609
2,2371730
1,2552971
14,2560259
7,1699163
14,2421000
7,2375350
14,2433297
11,2562585
4,2420513
14,934650
4,2436165
10,2560123
1,2555404
14,2561162
2,2560176
3,2405086
14,2431565
14,2216206
14,2397110
3,2416891
2,2565915
3,2436309
14,2426957
12,2561526
10,2563186
14,2440139
3,2562322
12,2558640
1,2559776
8,2371577
7,2394086
1,2559703
14,2440369
14,2423941
2,2372209
3,2417043
14,2557026
14,2560271
14,2561605
12,2491863
3,2561401
2,2559654
1,2568407
7,2422048
13,2567526
14,2434071
3,2378338
14,2443729
4,2428039
3,2555249
14,2437915
7,2416676
14,2421775
1,2483669
14,2561558
1,2560173
12,2566925
12,2554923
14,2562512
1,2442683
14,2424942
1,2560434
14,2560783
3,2371801
9,2558350
12,2568190
1,2373228
2,2568070
4,2411860
6,2560327
10,2367674
2,2571163
9,2561216
8,2415992
14,2469809
1,2371883
14,2386346
14,2476758
11,2554927
9,2559751
14,2439723
14,2569947
3,2551987
1,2557621
7,1849932
14,2553486
1,2567966
14,2535143
10,2371733
1,2477215
1,2555814
14,2445920
14,2549255
1,2476896
5,2413477
14,2393048
1,2479032
14,2426335
14,2560889
14,2559239
9,2559334
14,2559101
13,2030854
14,2485309
3,2559434
14,2570564
14,2548341
3,2565644
13,2571517
3,2416373
5,2369802
14,2442948
14,2447149
12,2556123
3,2440660
14,2557550
1,2556128
1,2559736
14,2559044
14,2430771
3,2561876
3,2437217
1,2417715
6,2558843
12,2535068
13,2379040
2,2560039
14,2439594
14,2418794
3,2559946
8,2437746
14,2567105
14,2494229
1,2486244
3,2422888
14,2562961
14,2439826
6,2483933
2,2474535
3,2534515
2,2562097
1,2555595
1,2416121
7,2419538
1,2565237
5,2412732
2,2572826
3,2555803
3,2560336
1,2562250
14,2560643
14,2554835
14,2492405
6,2557406
1,2483543
2,2371642
3,2556796
14,2557587
14,2427890
7,2378707
14,2472133
7,1263989
13,2437313
1,2547814
2,2570032
5,2391064
1,2483657
4,2381695
14,2168493
11,2476878
13,2417259
3,2402012
8,2424250
11,2551661
14,2557559
1,2552271
11,2483537
5,2374964
1,2404531
1,2549974
14,2563452
14,2482517
14,2561277
6,2560324
13,2373592
1,2478589
8,2419399
3,2556770
6,2557624
9,2483505
12,2567694
6,2535825
14,2426900
13,2571642
1,2552671
14,1181967
8,2420398
3,2558241
1,2429873
3,2555838
2,2400971
11,2465926
14,1279771
7,2131006
9,2479696
14,2560099
9,2503283
1,2473636
1,2559910
1,2373486
14,2447044
1,2435812
5,2430339
1,2507926
14,2570437
4,2422261
14,2416311
14,2483499
6,2483749
14,2495235
14,2557331
14,2564609
14,2372121
3,2494378
1,2402718
14,2496967
6,2560523
14,2424173
14,2559823
14,2571206
1,2431845
12,2483856
4,2419127
4,2205480
11,2557030
14,2564621
1,2398002
14,2475584
14,2561752
1,2483622
14,2562332
14,1270247
1,2483841
1,2560624
1,2555501
10,2558964
11,2506744
12,2475494
14,2560695
4,2439670
3,2383500
14,2566470
14,2432493
1,2553015
14,2560125
6,2483871
14,2389368
2,2484858
3,2554674
13,2570734
1,2554154
14,2476430
10,2418765
1,2565846
6,2563159
10,2563222
2,1309520
11,2562848
14,2561815
1,2556591
14,2562418
14,2478816
13,2561742
1,2559874
1,2405505
4,2401560
14,2563338
10,2336442
10,2557212
1,2560492
1,2483852
9,2561503
14,167977
14,2557595
1,2562570
3,2560279
14,2440100
14,2446974
7,2445864
1,2478485
1,2558433
1,2500245
14,2555065
11,2484376
2,2568102
3,2560398
1,2554853
6,2554939
12,2536615
3,2563337
11,2484436
12,2497884
3,2555251
3,2559272
14,2562697
14,2556197
6,2401622
14,2380901
14,2276951
14,2555773
1,2554979
14,2436524
14,1324587
2,2571483
1,2563826
1,2547911
1,2424925
14,2478882
14,2418075
6,2417295
1,2555586
14,2500799
1,2398632
14,2559186
14,2483934
9,2564446
6,2565445
13,2366223
13,2559700
2,1314078
14,2435824
13,2568996
14,2563412
6,2560585
14,2561182
2,2434462
5,2431734
8,450189
11,2487249
1,2400653
14,2565133
14,2488832
11,2563305
2,2405189
3,2558492
14,2439744
3,2563533
14,2478524
9,2561374
2,2553778
1,2559779
3,2561023
8,2422445
11,2567934
14,2547816
1,2439253
14,2557320
14,2436321
11,2568048
14,2373314
14,2555543
3,2566377
14,2372104
12,2566991
1,2558476
14,2556358
3,2470405
1,2426497
5,2429840
14,2411476
14,2568952
14,2441086
14,2567116
11,2480248
14,2465792
1,2555213
1,2553057
14,2559098
6,2562987
9,2466130
2,2436794
2,2372347
3,2559844
2,2483807
9,2559841
14,2557643
14,2536360
1,2554855
14,2566808
1,2564728
11,2503010
3,2564926
3,2559999
14,2437352
14,2444616
14,2564244
2,2403973
1,2563754
14,2442413
1,2542932
14,2568014
3,2566149
14,2551782
5,2441946
7,2420578
1,2479033
14,2555203
10,2470053
6,2560991
12,2472840
1,2427012
3,2534605
4,2441938
2,2563161
11,2560011
1,2555412
2,2572852
14,2549606
3,2483715
14,2435063
1,2557601
1,2558710
1,2555205
2,2558599
12,2557227
14,1058739
1,2432069
14,2496648
14,2556589
1,2558788
1,2468653
14,2560896
3,2559757
14,2425853
9,2564052
3,2563800
1,2555259
13,2544528
10,2483724
3,2427173
6,2555041
2,2572597
7,2428123
14,2563270
14,2548853
6,2556577
2,2560253
11,2566024
14,2397091
3,2564649
9,2546698
3,2560306
1,2465475
6,2556807
1,2563861
14,2555753
3,2397633
6,2550115
1,2476897
2,2437751
5,2366159
14,2558349
7,2444271
12,2556713
4,2432281
1,2433003
2,2572031
9,2465682
7,2417959
12,2536215
1,2468651
2,2562488
14,953690
14,2465879
14,2563997
14,2480065
5,2416697
14,2557139
2,2474969
8,2442720
11,2465069
14,2566702
11,2561732
12,2566116
10,2440524
14,2432421
13,2430791
14,2562469
3,2423648
14,2567817
2,2226743
2,2560882
11,2555096
14,2569360
14,2532599
13,2465333
9,2557956
1,2555492
9,2472803
1,2483615
2,2570319
1,2440248
14,2425346
6,2558416
3,2568299
1,2471420
6,2559558
1,2545641
6,2478436
14,2559909
1,2477221
3,2547566
3,2557548
11,2562504
3,2551416
6,2560641
1,2558451
1,2559629
11,2543508
2,2466472
14,2441071
14,2442731
12,2539122
14,2533144
14,2559790
8,2373021
12,2570468
5,2403577
2,2561289
14,2425950
11,2499077
14,2557166
14,2565565
2,2474014
14,2445072
14,2427084
10,2445540
14,2563505
1,2560894
6,2557544
3,2565932
14,2483709
7,2417732
14,2445601
13,2571578
6,2544791
13,2564924
2,2471302
2,2467796
1,2553997
14,2566436
1,2476308
2,2564573
5,2419088
14,2558755
1,2556474
11,2548403
11,2554084
14,2483820
6,2536478
3,2549468
14,2546740
14,2419024
3,2405323
1,2467039
2,2435810
6,2556108
14,2425928
14,2560416
2,2467052
11,2555095
3,2534424
13,2421786
2,2545986
14,2435943
3,2547540
1,2556269
12,2560028
14,2558034
11,2502731
14,2554879
10,2371963
6,2554159
8,2422064
1,2465639
4,2398409
12,2568352
14,1923526
14,2567026
14,2534039
1,2477246
1,2560328
14,2563804
14,2483526
14,2425834
14,2435916
14,2556162
1,2560556
11,2560341
14,2539771
11,2561542
11,2558765
12,2483544
9,2560192
12,2560937
11,2556765
3,2398698
14,2535686
12,2556160
1,2563166
11,2566865
1,2560669
3,2561425
5,2423709
3,2396931
6,2553303
5,2400910
13,2465407
14,2535819
1,2558973
1,2559979
1,2535868
1,2559590
14,2424288
14,2487560
14,1206690
13,2568973
4,2423793
14,2435736
14,2469445
11,2474584
6,2559693
4,2436332
14,2562422
6,2560001
14,2561034
10,2372286
1,2554951
14,2562918
1,2560156
2,2562232
1,2483833
11,2503805
1,2404254
1,2543532
14,2564681
2,2566962
2,2544453
2,2433949
14,2559709
9,2554820
1,2560289
14,2564361
13,2568850
14,2434559
14,2468029
14,2469268
6,2557905
14,2427548
11,2555737
14,2467468
1,2443752
2,2440791
1,2559728
11,2533068
9,2557675
2,2557165
3,2554379
11,2558930
5,2397336
2,2561407
9,2560172
3,2467172
12,2465750
1,2559104
14,2421088
14,2563770
3,2564843
14,2469278
14,2481886
14,2418302
3,2397145
12,2566506
9,2466977
4,2408280
12,2562938
14,2348420
14,2557657
14,2557593
14,2561358
1,2560151
14,2559107
3,2417605
8,2406245
1,2552662
14,2559533
1,2554942
3,2561513
12,2467079
12,2559191
14,2443371
14,2443565
14,2467804
14,2371202
1,2564448
14,2442081
